itemDescription,image_url,image_path
tropical fruit,https://media1.popsugar-assets.com/files/thumbor/u1L4i8DMk8QivGVYJj4AQzdMwz4/fit-in/2048xorig/filters:format_auto-!!-:strip_icc-!!-/2016/06/03/727/n/1922195/571b02185b2af18a_shutterstock_290957057.jpg,item_images/tropical_fruit.jpg
whole milk,https://cooksfarmdairy.com/DesktopModules/Revindex.Dnn.RevindexStorefront/Portals/12/Gallery/70c3226a-3367-4446-9529-80fb54901a1a.jpg,item_images/whole_milk.jpg
pip fruit,https://store.pggwrightson.co.nz/media/catalog/category/PGW_SubCat_Crops_Split_Banner_583x270_Pip_Fruit.png,item_images/pip_fruit.jpg
other vegetables,https://englishstudyonline.org/wp-content/uploads/2019/05/TYPES-OF-VEGETABLES-1.jpg,item_images/other_vegetables.jpg
rolls/buns,,
pot plants,https://i5.walmartimages.com/asr/0c60bdc2-69f9-4030-8ccd-26243f3f1f88.e8365f1fc69844eceb6f20a7af3caa74.jpeg,item_images/pot_plants.jpg
citrus fruit,https://www.homeperch.com/wp-content/uploads/2019/04/Types-of-Citrus-Fruits-1-27-4.jpg,item_images/citrus_fruit.jpg
beef,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/delish-roast-beef-horizontal-1540505165.jpg?crop=1xw:0.75xh;center,top&resize=1200:*",item_images/beef.jpg
frankfurter,https://info.bml.gv.at/.imaging/mte/bcisa/bcisa-full/dam/bm/themen/lebensmittel/trad-lebensmittel/Fleisch/Fleischprodukte/frankfurter/22.07.04-Foto-Frankfurter.jpg/jcr:content/22.07.04+Foto+Frankfurter.jpg,item_images/frankfurter.jpg
chicken,"https://assets.epicurious.com/photos/62f16ed5fe4be95d5a460eed/1:1/w_2560,c_limit/RoastChicken_RECIPE_080420_37993.jpg",item_images/chicken.jpg
butter,http://www.webexhibits.org/butter/i/full/iStock_000006937653Small.jpg,item_images/butter.jpg
fruit/vegetable juice,http://divascancook.com/wp-content/uploads/2012/01/IMG_3548_2.jpg,item_images/fruit_vegetable_juice.jpg
packaged fruit/vegetables,https://c8.alamy.com/comp/P2KD87/fresh-food-vegetables-fruit-each-individually-packaged-in-plastic-wrap-all-food-is-available-in-the-same-supermarket-even-without-plastic-packagin-P2KD87.jpg,item_images/packaged_fruit_vegetables.jpg
chocolate,https://elavegan.com/wp-content/uploads/2023/01/homemade-chocolate-bars-1041x1536.jpg,item_images/chocolate.jpg
specialty bar,https://cdn.foodism.to/featured_image/5d766647cd4e1.jpeg,item_images/specialty_bar.jpg
butter milk,,
bottled water,http://kidspressmagazine.com/wp-content/uploads/2014/04/dreamstime_xl_12522351.jpg,item_images/bottled_water.jpg
yogurt,https://plantbasedjuniors.com/wp-content/uploads/2022/08/vegan-yogurt-1-scaled.jpg,item_images/yogurt.jpg
sausage,https://www.daringgourmet.com/wp-content/uploads/2018/01/Breakfast-Sausages-5-square-lighter-2.jpg,item_images/sausage.jpg
brown bread,,
hamburger meat,https://recipes.net/wp-content/uploads/2024/01/how-to-grill-juicy-lean-hamburger-meat-1705403215.jpg,item_images/hamburger_meat.jpg
root vegetables,"https://www.thespruce.com/thmb/gr13QjCYV4C7PwVT4C8dJH6tnAY=/5500x3661/filters:fill(auto,1)/root-vegetables-1403506-11-647a8d987fd248f18711e0cec22ef708.jpg",item_images/root_vegetables.jpg
pork,https://tastefullygrace.com/wp-content/uploads/2022/09/Grilled-Pork-Tenderloin-Recipe-1-scaled.jpg,item_images/pork.jpg
pastry,https://everydaypie.com/wp-content/uploads/2022/06/Puff-Pastry-1-1.jpg,item_images/pastry.jpg
canned beer,https://thumbs.dreamstime.com/z/calgary-alberta-canada-jun-various-beer-cans-craft-beers-domestic-imported-around-world-mini-fridge-house-186311163.jpg,item_images/canned_beer.jpg
berries,https://parade.com/.image/t_share/MTk3ODAzODAxNTczMzM2ODgy/types-of-berries.jpg,item_images/berries.jpg
